"row.names","cost","count","type"
"452",118.82,13383,"OP"
"453",71.67,5307,"OP"
"454",73.24,3195,"OP"
"455",183.58,9,"OP"
"456",64.05,1786,"OP"
"457",143.11,9,"OP"
"458",120.67,12,"OP"
"459",256.56,2869,"OP"
"460",65.27,5451,"OP"
"461",102.8,29,"OP"
"462",140.62,253,"OP"
"463",167.2,9,"OP"
"464",104.53,7,"OP"
"465",294.28,9,"OP"
"466",165.51,677,"OP"
"467",132.36,1160,"OP"
"468",159.4,357,"OP"
"469",244.08,54,"OP"
"470",420.02,55,"OP"
"471",257.32,27,"OP"
"472",75.92,10,"OP"
"473",154.96,126,"OP"
"474",193.08,1443,"OP"
"475",150.06,76,"OP"
"476",811.55,16,"OP"
"477",227.54,7,"OP"
"478",77.12,7125,"OP"
"479",153.28,3,"OP"
"480",230.66,6,"OP"
"481",133.06,104,"OP"
"482",1078.38,4,"OP"
"483",58.37,74597,"OP"
"484",125.69,987,"OP"
"485",181.2,26,"OP"
"486",145.24,69,"OP"
"487",69.07,14,"OP"
"488",105.11,24,"OP"
"489",400.95,486,"OP"
"490",238.57,10,"OP"
"491",416.58,1,"OP"
"492",128.02,9008,"OP"
"493",150.2,5466,"OP"
"494",57.82,25,"OP"
"495",345.3,5,"OP"
"496",228.25,1,"OP"
"497",130.58,5,"OP"
"498",132.81,148,"OP"
"499",191.94,34,"OP"
"500",218.93,22,"OP"
"501",161.22,19,"OP"
"502",366.49,14,"OP"
"503",247.82,2,"OP"
"504",104.4,4,"OP"
"505",86.47,15,"OP"
"506",511.46,1,"OP"
"507",48.64,1,"OP"
"508",124.72,12,"OP"
"509",435.95,13,"OP"
"510",141.99,4,"OP"
"511",40.88,79812,"OP"
"512",107.64,20937,"OP"
"513",163.56,24069,"OP"
"514",28.05,140727,"OP"
"515",89.76,1330,"OP"
"516",49.99,9051,"OP"
"517",25.67,503,"OP"
"518",211,170710,"OP"
"519",42.32,6116,"OP"
"520",24.49,24073,"OP"
"521",275.6,6,"OP"
"522",128.71,1881,"OP"
"523",761,408,"OP"
"524",262.51,11207,"OP"
"525",221.63,1,"OP"
"526",260.23,359,"OP"
"527",100.14,9,"OP"
"528",90.79,10448,"OP"
"529",366.57,133,"OP"
"530",246.54,7,"OP"
"531",27.88,2242,"OP"
"532",39.44,89,"OP"
"533",269.59,150,"OP"
"534",261,31863,"OP"
"535",246,31391,"OP"
"536",101.52,455,"OP"
"537",499.79,576,"OP"
"538",321.87,100,"OP"
"539",493.6,11,"OP"
"540",2122,20,"OP"
"541",1232,15,"OP"
"542",145.9,540,"OP"
"543",59.49,432,"OP"
"544",74.84,6,"OP"
"545",99.44,1,"OP"
"546",138.38,1717,"OP"
"547",202.02,35,"OP"
"548",114.15,1063,"OP"
"549",105.78,778,"OP"
"550",26.72,36393,"OP"
"551",123.08,4435,"OP"
"552",216.9,137,"OP"
"553",302,15591,"OP"
"554",213.15,5,"OP"
"555",290.19,3,"OP"
"556",345.95,84,"OP"
"557",272.83,2,"OP"
"558",122.8,600,"OP"
"559",196.19,2021,"OP"
"560",81.66,10691,"OP"
"561",267.03,3310,"OP"
"562",278,76861,"OP"
"563",80.57,681,"OP"
"564",558,132,"OP"
"565",130.82,2116,"OP"
"566",438.84,387,"OP"
"567",193.79,408,"OP"
"568",284.73,483,"OP"
